TIMESTAMP,SLOTS
[2023-07-20 18:41:01],..RTTT
[2023-07-20 18:41:01],RTTTTT
[2023-07-20 18:41:02],RTTTTT
[2023-07-20 18:41:03],CRTTTT
[2023-07-20 18:41:04],RTTTTT
[2023-07-20 18:41:05],RTTTTT
[2023-07-20 18:41:06],RTTTTT
[2023-07-20 18:41:07],CRTTTT
[2023-07-20 18:41:08],RTTTTT
[2023-07-20 18:41:09],CRTTTT
[2023-07-20 18:41:10],RTTTTT
[2023-07-20 18:41:11],RTTTTT
[2023-07-20 18:41:12],RTTTTT
[2023-07-20 18:41:13],RTTTTT
[2023-07-20 18:41:14],RTTTTT
[2023-07-20 18:41:15],RTTTTT
[2023-07-20 18:41:16],RTTTTT
[2023-07-20 18:41:17],RTTTTT
[2023-07-20 18:41:18],RTTTTT
[2023-07-20 18:41:19],RTTTTT
[2023-07-20 18:41:20],RTTTTT
[2023-07-20 18:41:21],RTTTTT
[2023-07-20 18:41:22],RTTTTT
[2023-07-20 18:41:23],RTTTTT
[2023-07-20 18:41:24],CRTTTT
[2023-07-20 18:41:25],RTTTTT
[2023-07-20 18:41:26],RTTTTT
[2023-07-20 18:41:27],RTTTTT
[2023-07-20 18:41:28],CRTTTT
[2023-07-20 18:41:29],RTTTTT
[2023-07-20 18:41:30],RTTTTT
[2023-07-20 18:41:31],RTTTTT
[2023-07-20 18:41:32],RTTTTT
[2023-07-20 18:41:33],RTTTTT
[2023-07-20 18:41:34],CRTTTT
[2023-07-20 18:41:35],RTTTTT
[2023-07-20 18:41:36],RTTTTT
[2023-07-20 18:41:37],CRTTTT
[2023-07-20 18:41:38],RTTTTT
[2023-07-20 18:41:39],RTTTTT
[2023-07-20 18:41:40],HRTTTT
[2023-07-20 18:41:41],RTTTTT
[2023-07-20 18:41:42],CRTTTT
[2023-07-20 18:41:43],RTTTTT
[2023-07-20 18:41:44],CRTTTT
[2023-07-20 18:41:45],RTTTTT
[2023-07-20 18:41:46],RTTTTT
[2023-07-20 18:41:47],CRTTTT
[2023-07-20 18:41:48],RTTTTT
[2023-07-20 18:41:49],CRTTTT
[2023-07-20 18:41:50],RTTTTT
[2023-07-20 18:41:51],RTTTTT
[2023-07-20 18:41:52],CRTTTT
[2023-07-20 18:41:53],RTTTTT
[2023-07-20 18:41:54],HRTTTT
[2023-07-20 18:41:55],RTTTTT
[2023-07-20 18:41:56],CRTTTT
[2023-07-20 18:41:57],RTTTTT
[2023-07-20 18:41:58],RTTTTT
[2023-07-20 18:41:59],RTTTTT
[2023-07-20 18:42:00],RTTTTT
[2023-07-20 18:42:01],CCCCCC
[2023-07-20 18:42:02],RTTTTT
